2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,417 - Conexión ESTABLISHED desde addr(ip='127.0.0.1', port=60247) hacia addr(ip='127.0.0.1', port=60248)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,419 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54582) hacia addr(ip='52.73.187.23', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
